Id,MSSubClass,MSZoning,LotArea,SaleCondition,SalePrice
1,60,RL,8450,Normal,208500
2,20,RL,9600,Normal,181500
3,60,RL,11250,Normal,223500
4,70,RL,9550,Abnorml,140000
5,60,RL,14260,Normal,250000
6,50,RL,14115,Normal,143000
7,20,RL,10084,Normal,307000
8,60,RL,10382,Normal,200000
9,50,RM,6120,Abnorml,129900
10,190,RL,7420,Normal,118000
11,20,RL,11200,Normal,129500
12,60,RL,11924,Partial,345000
13,20,RL,12968,Normal,144000
14,20,RL,10652,Partial,279500
15,20,RL,10920,Normal,157000
16,45,RM,6120,Normal,132000
17,20,RL,11241,Normal,149000
18,90,RL,10791,Normal,90000
19,20,RL,13695,Normal,159000
20,20,RL,7560,Abnorml,139000
21,60,RL,14215,Partial,325300
22,45,RM,7449,Normal,139400
23,20,RL,9742,Normal,230000
24,120,RM,4224,Normal,129900
25,20,RL,8246,Normal,154000
26,20,RL,14230,Normal,256300
27,20,RL,7200,Normal,134800
28,20,RL,11478,Normal,306000
29,20,RL,16321,Normal,207500
30,30,RM,6324,Normal,68500
31,70,C (all),8500,Normal,40000
32,20,RL,8544,Normal,149350
33,20,RL,11049,Normal,179900
34,20,RL,10552,Normal,165500
35,120,RL,7313,Normal,277500
36,60,RL,13418,Normal,309000
37,20,RL,10859,Normal,145000
38,20,RL,8532,Normal,153000
39,20,RL,7922,Abnorml,109000
40,90,RL,6040,AdjLand,82000
41,20,RL,8658,Abnorml,160000
42,20,RL,16905,Normal,170000
43,85,RL,9180,Normal,144000
44,20,RL,9200,Normal,130250
45,20,RL,7945,Normal,141000
46,120,RL,7658,Normal,319900
47,50,RL,12822,Abnorml,239686
48,20,FV,11096,Normal,249700
49,190,RM,4456,Partial,113000
50,20,RL,7742,Normal,127000
51,60,RL,13869,Normal,177000
52,50,RM,6240,Normal,114500
53,90,RM,8472,Normal,110000
54,20,RL,50271,Normal,385000
55,80,RL,7134,Normal,130000
56,20,RL,10175,Normal,180500
57,160,FV,2645,Abnorml,172500
58,60,RL,11645,Normal,196500
59,60,RL,13682,Partial,438780
60,20,RL,7200,Normal,124900
61,20,RL,13072,Partial,158000
62,75,RM,7200,Normal,101000
63,120,RL,6442,Normal,202500
64,70,RM,10300,Normal,140000
65,60,RL,9375,Normal,219500
66,60,RL,9591,Normal,317000
67,20,RL,19900,Normal,180000
68,20,RL,10665,Normal,226000
69,30,RM,4608,Normal,80000
70,50,RL,15593,Normal,225000
71,20,RL,13651,Normal,244000
72,20,RL,7599,Normal,129500
73,60,RL,10141,Normal,185000
74,20,RL,10200,Normal,144900
75,50,RM,5790,Normal,107400
76,180,RM,1596,Normal,91000
77,20,RL,8475,Normal,135750
78,50,RM,8635,Normal,127000
79,90,RL,10778,Normal,136500
80,50,RM,10440,Normal,110000
81,60,RL,13000,Normal,193500
82,120,RM,4500,Normal,153500
83,20,RL,10206,Normal,245000
84,20,RL,8892,Normal,126500
85,80,RL,8530,Normal,168500
86,60,RL,16059,Normal,260000
87,60,RL,11911,Normal,174000
88,160,FV,3951,Partial,164500
89,50,C (all),8470,Abnorml,85000
90,20,RL,8070,Normal,123600
91,20,RL,7200,Normal,109900
92,20,RL,8500,Abnorml,98600
93,30,RL,13360,Normal,163500
94,190,C (all),7200,Normal,133900
95,60,RL,9337,Normal,204750
96,60,RL,9765,Normal,185000
97,20,RL,10264,Normal,214000
98,20,RL,10921,Normal,94750
99,30,RL,10625,Abnorml,83000
100,20,RL,9320,Normal,128950
101,20,RL,10603,Normal,205000
102,60,RL,9206,Normal,178000
103,90,RL,7018,Alloca,118964
104,20,RL,10402,Normal,198900
105,50,RM,7758,Normal,169500
106,60,FV,9375,Normal,250000
107,30,RM,10800,Normal,100000
108,20,RM,6000,Partial,115000
109,50,RM,8500,Normal,115000
110,20,RL,11751,Normal,190000
111,50,RL,9525,Normal,136900
112,80,RL,7750,Normal,180000
113,60,RL,9965,Partial,383970
114,20,RL,21000,Abnorml,217000
115,70,RL,7259,Normal,259500
116,160,FV,3230,Normal,176000
117,20,RL,11616,Normal,139000
118,20,RL,8536,Partial,155000
119,60,RL,12376,Normal,320000
120,60,RL,8461,Partial,163990
121,80,RL,21453,Normal,180000
122,50,RM,6060,Normal,100000
123,20,RL,9464,Normal,136000
124,120,RL,7892,Normal,153900
125,20,RL,17043,Normal,181000
126,190,RM,6780,Normal,84500
127,120,RL,4928,Normal,128000
128,45,RM,4388,Normal,87000
129,60,RL,7590,Normal,155000
130,20,RL,8973,Abnorml,150000
131,60,RL,14200,Normal,226000
132,60,RL,12224,Normal,244000
133,20,RL,7388,Normal,150750
134,20,RL,6853,Normal,220000
135,20,RL,10335,Normal,180000
136,20,RL,10400,Normal,174000
137,20,RL,10355,Normal,143000
138,90,RL,11070,Family,171000
139,60,RL,9066,Normal,230000
140,60,RL,15426,Normal,231500
141,20,RL,10500,Normal,115000
142,20,RL,11645,Normal,260000
143,50,RL,8520,Normal,166000
144,20,RL,10335,Normal,204000
145,90,RM,9100,Abnorml,125000
146,160,RM,2522,Normal,130000
147,30,RM,6120,Normal,105000
148,60,RL,9505,Normal,222500
149,20,RL,7500,Normal,141000
150,50,RM,6240,Normal,115000
151,20,RL,10356,Normal,122000
152,20,RL,13891,Partial,372402
153,60,RL,14803,Normal,190000
154,20,RL,13500,Normal,235000
155,30,RM,11340,Family,125000
156,50,RL,9600,Normal,79000
157,20,RL,7200,Normal,109500
158,60,RL,12003,Partial,269500
159,60,FV,12552,Normal,254900
160,60,RL,19378,Partial,320000
161,20,RL,11120,Normal,162500
162,60,RL,13688,Normal,412500
163,20,RL,12182,Partial,220000
164,45,RL,5500,Normal,103200
165,40,RM,5400,Normal,152000
166,190,RL,10106,Normal,127500
167,20,RL,10708,Normal,190000
168,60,RL,10562,Partial,325624
169,60,RL,8244,Normal,183500
170,20,RL,16669,Normal,228000
171,50,RM,12358,Normal,128500
172,20,RL,31770,Normal,215000
173,160,RL,5306,Normal,239000
174,20,RL,10197,Normal,163000
175,20,RL,12416,Normal,184000
176,20,RL,12615,Normal,243000
177,60,RL,10029,Normal,211000
178,50,RL,13650,Normal,172500
179,20,RL,17423,Partial,501837
180,30,RM,8520,Normal,100000
181,160,FV,2117,Normal,177000
182,70,RL,7588,Normal,200100
183,20,RL,9060,Normal,120000
184,50,RM,11426,Normal,200000
185,50,RL,7438,Normal,127000
186,75,RM,22950,Normal,475000
187,80,RL,9947,Normal,173000
188,50,RL,10410,Normal,135000
189,90,RL,7018,Alloca,153337
190,120,RL,4923,Normal,286000
191,70,RL,10570,Normal,315000
192,60,RL,7472,Normal,184000
193,20,RL,9017,Normal,192000
194,160,RM,2522,Normal,130000
195,20,RL,7180,Normal,127000
196,160,RL,2280,Normal,148500
197,20,RL,9416,Partial,311872
198,75,RL,25419,Abnorml,235000
199,75,RM,5520,Abnorml,104000
200,20,RL,9591,Normal,274900
201,20,RM,8546,Normal,140000
202,20,RL,10125,Normal,171500
203,50,RL,7000,Normal,112000
204,120,RM,4438,Normal,149000
205,50,RM,3500,Normal,110000
206,20,RL,11851,Normal,180500
207,20,RL,13673,Normal,143900
208,20,RL,12493,Normal,141000
209,60,RL,14364,Normal,277000
210,20,RL,8250,Normal,145000
211,30,RL,5604,Normal,98000
212,20,RL,10420,Normal,186000
213,60,FV,8640,Partial,252678
214,20,RL,13568,Normal,156000
215,60,RL,10900,Normal,161750
216,20,RL,10011,Normal,134450
217,20,RL,8450,Normal,210000
218,70,RM,9906,Family,107000
219,50,RL,15660,Normal,311500
220,120,RL,3010,Partial,167240
221,20,RL,8990,Partial,204900
222,60,RL,8068,Normal,200000
223,60,RL,11475,Normal,179900
224,20,RL,10500,Abnorml,97000
225,20,RL,13472,Normal,386250
226,160,RM,1680,Abnorml,112000
227,60,RL,9950,Abnorml,290000
228,160,RM,1869,Normal,106000
229,20,RL,8521,Normal,125000
230,120,RL,3182,Normal,192500
231,20,RL,8760,Normal,148000
232,60,RL,15138,Normal,403000
233,160,RM,1680,Normal,94500
234,20,RL,10650,Normal,128200
235,60,RL,7851,Normal,216500
236,160,RM,1680,Normal,89500
237,20,RL,8773,Normal,185500
238,60,RL,9453,Normal,194500
239,20,RL,12030,Partial,318000
240,50,RL,8741,Normal,113000
241,20,FV,9000,Normal,262500
242,30,RM,3880,Normal,110500
243,50,RM,5000,Normal,79000
244,160,RL,10762,Normal,120000
245,60,RL,8880,Normal,205000
246,20,RL,10400,Normal,241500
247,190,RM,9142,Normal,137000
248,20,RL,11310,Normal,140000
249,60,RL,11317,Normal,180000
250,50,RL,159000,Normal,277000
251,30,RL,5350,Normal,76500
252,120,RM,4750,Family,235000
253,60,RL,8366,Normal,173000
254,80,RL,9350,Normal,158000
255,20,RL,8400,Normal,145000
256,60,RL,8738,Normal,230000
257,60,FV,8791,Normal,207500
258,20,RL,8814,Abnorml,220000
259,60,RL,12435,Normal,231500
260,20,RM,12702,Normal,97000
261,80,RL,19296,Normal,176000
262,60,RL,9588,Partial,276000
263,80,RL,8471,Normal,151000
264,50,RM,5500,Normal,130000
265,30,RM,5232,Normal,73000
266,20,RL,12090,Normal,175500
267,60,RL,11207,Normal,185000
268,75,RL,8400,Normal,179500
269,30,RM,6900,Normal,120500
270,20,RL,7917,Normal,148000
271,60,FV,10728,Partial,266000
272,20,RL,39104,Normal,241500
273,60,RL,11764,Normal,290000
274,20,RL,9600,Normal,139000
275,20,RL,8314,Normal,124500
276,50,RL,7264,Normal,205000
277,20,RL,9196,Normal,201000
278,20,RL,19138,Normal,141000
279,20,RL,14450,Partial,415298
280,60,RL,10005,Normal,192000
281,60,RL,11287,Normal,228500
282,20,FV,7200,Partial,185000
283,120,RL,5063,Normal,207500
284,20,RL,9612,Partial,244600
285,120,RL,8012,Normal,179200
286,160,FV,4251,Partial,164700
287,50,RL,9786,Normal,159000
288,20,RL,8125,Normal,88000
289,20,RL,9819,Normal,122000
290,70,RL,8730,Normal,153575
291,60,RL,15611,Partial,233230
292,190,RL,5687,Normal,135900
293,50,RL,11409,Normal,131000
294,60,RL,16659,Normal,235000
295,20,RL,9600,Normal,167000
296,80,RL,7937,Normal,142500
297,50,RM,13710,Normal,152000
298,60,FV,7399,Normal,239000
299,60,RL,11700,Normal,175000
300,20,RL,14000,Family,158500
301,190,RL,15750,Normal,157000
302,60,RL,16226,Normal,267000
303,20,RL,13704,Normal,205000
304,20,RL,9800,Abnorml,149900
305,75,RM,18386,Normal,295000
306,20,RL,10386,Normal,305900
307,60,RL,13474,Normal,225000
308,50,RM,7920,Normal,89500
309,30,RL,12342,Normal,82500
310,20,RL,12378,Normal,360000
311,60,RL,7685,Normal,165600
312,20,RL,8000,Normal,132000
313,190,RM,7800,Normal,119900
314,20,RL,215245,Normal,375000
315,70,RM,9600,Normal,178000
316,60,RL,7795,Normal,188500
317,60,RL,13005,Normal,260000
318,60,FV,9000,Normal,270000
319,60,RL,9900,Normal,260000
320,80,RL,14115,Normal,187500
321,60,RL,16259,Partial,342643
322,60,RL,12099,Normal,354000
323,60,RL,10380,Normal,301000
324,20,RM,5820,Normal,126175
325,80,RL,11275,Normal,242000
326,45,RM,5000,Normal,87000
327,120,RL,10846,Normal,324000
328,20,RL,11600,Normal,145250
329,75,RL,11888,Normal,214500
330,70,RM,6402,Normal,78000
331,90,RL,10624,Normal,119000
332,20,RL,8176,Normal,139000
333,20,RL,10655,Normal,284000
334,120,RM,8198,Normal,207000
335,60,RL,9042,Normal,192000
336,190,RL,164660,Normal,228950
337,20,RL,14157,Normal,377426
338,20,RL,9135,Normal,214000
339,20,RL,14145,Normal,202500
340,20,RL,12400,Normal,155000
341,60,RL,14191,Normal,202900
342,20,RH,8400,Normal,82000
343,90,RL,8544,Normal,87500
344,120,RL,8849,Normal,266000
345,160,RM,2592,Normal,85000
346,50,RL,6435,Normal,140200
347,20,RL,12772,Normal,151500
348,20,RL,17600,Normal,157500
349,160,RL,2448,Normal,154000
350,60,RL,20431,Partial,437154
351,120,RL,7820,Partial,318061
352,120,RL,5271,Abnorml,190000
353,50,RL,9084,Normal,95000
354,30,RM,8520,Normal,105900
355,50,RL,8400,Normal,140000
356,20,RL,11249,Normal,177500
357,20,RL,9248,Normal,173000
358,120,RM,4224,Normal,134000
359,80,RL,6930,Abnorml,130000
360,60,RL,12011,Normal,280000
361,85,RL,7540,Normal,156000
362,50,RL,9144,Normal,145000
363,85,RL,7301,Normal,198500
364,160,RM,1680,Normal,118000
365,60,RL,18800,Normal,190000
366,70,RM,10690,Normal,147000
367,20,RL,9500,Normal,159000
368,80,RL,9150,Normal,165000
369,20,RL,7800,Normal,132000
370,20,RL,9830,Normal,162000
371,60,RL,8121,Normal,172400
372,50,RL,17120,Normal,134432
373,120,RL,7175,Normal,125000
374,20,RL,10634,Normal,123000
375,60,RL,8200,Normal,219500
376,30,RL,10020,Normal,61000
377,85,RL,8846,Normal,148000
378,60,FV,11143,Normal,340000
379,20,RL,11394,Partial,394432
380,60,RL,8123,Normal,179000
381,50,RL,5000,Normal,127000
382,20,FV,7200,Partial,187750
383,60,RL,9245,Normal,213500
384,45,RH,9000,Normal,76000
385,60,RL,53107,Normal,240000
386,120,RL,3182,Normal,192000
387,50,RL,8410,AdjLand,81000
388,80,RL,7200,Abnorml,125000
389,20,RL,9382,Normal,191000
390,60,RL,12474,Partial,426000
391,50,RL,8405,Normal,119000
392,60,RL,12209,Normal,215000
393,20,RL,8339,Normal,106500
394,30,RL,7446,Abnorml,100000
395,50,RL,10134,Normal,109000
396,20,RL,9571,Normal,129000
397,20,RL,7200,Normal,123000
398,60,RL,7590,Normal,169500
399,30,RM,8967,Abnorml,67000
400,60,FV,8125,Normal,241000
401,120,RL,14963,Normal,245500
402,20,RL,8767,Partial,164990
403,30,RL,10200,Normal,108000
404,60,RL,12090,Abnorml,258000
405,60,RL,10364,Normal,168000
406,20,RL,9991,Normal,150000
407,50,RL,10480,Normal,115000
408,70,RL,15576,Normal,177000
409,60,RL,14154,Partial,280000
410,60,FV,10800,Partial,339750
411,20,RL,9571,Abnorml,60000
412,190,RL,34650,Normal,145000
413,20,FV,4403,Partial,222000
414,30,RM,8960,Normal,115000
415,60,RL,11228,Normal,228000
416,20,RL,8899,Partial,181134
417,60,RL,7844,Normal,149500
418,70,RL,22420,Normal,239000
419,50,RL,8160,AdjLand,126000
420,20,RL,8450,Normal,142000
421,90,RM,7060,Alloca,206300
422,20,RL,16635,Normal,215000
423,20,RL,21750,Normal,113000
424,60,RL,9200,Normal,315000
425,20,RL,9000,Normal,139000
426,60,RM,3378,Normal,135000
427,80,RL,12800,Normal,275000
428,20,RL,8593,Normal,109008
429,20,RL,6762,Partial,195400
430,20,RL,11457,Normal,175000
431,160,RM,1680,Abnorml,85400
432,50,RM,5586,Abnorml,79900
433,160,RM,1920,Normal,122500
434,60,RL,10839,Normal,181000
435,180,RM,1890,Normal,81000
436,60,RL,10667,Normal,212000
437,50,RM,4400,Normal,116000
438,45,RM,6000,Normal,119000
439,30,RL,4280,Normal,90350
440,50,RL,12354,Normal,110000
441,20,RL,15431,Normal,555000
442,90,RL,12108,Normal,118000
443,50,RM,6240,Normal,162900
444,120,RL,3922,Partial,172500
445,60,RL,8750,Normal,210000
446,20,RL,9855,Normal,127500
447,20,RL,16492,Normal,190000
448,60,RL,11214,Normal,199900
449,50,RM,8600,Normal,119500
450,50,RM,6000,Normal,120000
451,30,RM,5684,Normal,110000
452,20,RL,70761,Normal,280000
453,60,RL,9303,Normal,204000
454,60,FV,9000,Normal,210000
455,90,RL,9297,Family,188000
456,20,RL,9600,Normal,175500
457,70,RM,4571,Abnorml,98000
458,20,RL,53227,Normal,256000
459,70,RM,5100,Normal,161000
460,50,RL,7015,Normal,110000
461,60,FV,8004,Partial,263435
462,70,RL,7200,Normal,155000
463,20,RL,8281,Normal,62383
464,70,RL,11988,Normal,188700
465,20,RL,8430,Normal,124000
466,120,RM,3072,Normal,178740
467,20,RL,10628,Normal,167000
468,70,RL,9480,Normal,146500
469,20,RL,11428,Normal,250000
470,60,RL,9291,Normal,187000
471,120,RL,6820,Normal,212000
472,60,RL,11952,Normal,190000
473,180,RM,3675,Normal,148000
474,20,RL,14977,Partial,440000
475,120,RL,5330,Normal,251000
476,20,RL,8480,Normal,132500
477,20,RL,13125,Normal,208900
478,60,RL,13693,Normal,380000
479,20,RL,10637,Normal,297000
480,30,RM,5925,Alloca,89471
481,20,RL,16033,Normal,326000
482,20,RL,11846,Normal,374000
483,70,RM,2500,Normal,155000
484,120,RM,4500,Normal,164000
485,20,RL,7758,Normal,132500
486,20,RL,9600,Normal,147000
487,20,RL,10289,Normal,156000
488,20,RL,12243,Normal,175000
489,190,RL,10800,Normal,160000
490,180,RM,1526,Normal,86000
491,160,RM,2665,Normal,115000
492,50,RL,9490,Normal,133000
493,60,RL,15578,Partial,172785
494,20,RL,7931,Normal,155000
495,30,RM,5784,Normal,91300
496,30,C (all),7879,Abnorml,34900
497,20,RL,12692,Normal,430000
498,50,RL,9120,Normal,184000
499,20,RL,7800,Normal,130000
500,20,RL,7535,Normal,120000
501,160,RM,1890,Normal,113000
502,60,FV,9803,Normal,226700
503,20,RL,9170,Normal,140000
504,20,RL,15602,Normal,289000
505,160,RL,2308,Normal,147000
506,90,RM,7596,Normal,124500
507,60,RL,9554,Normal,215000
508,20,FV,7862,Partial,208300
509,70,RM,9600,Normal,161000
510,20,RL,9600,Normal,124500
511,20,RL,14559,Normal,164900
512,120,RL,6792,Partial,202665
513,20,RL,9100,Normal,129900
514,20,RL,9187,Normal,134000
515,45,RL,10594,Normal,96500
516,20,RL,12220,Partial,402861
517,80,RL,10448,Abnorml,158000
518,60,RL,10208,Normal,265000
519,60,RL,9531,Normal,211000
520,70,RL,10918,Normal,234000
521,190,RL,10800,Normal,106250
522,20,RL,11988,Normal,150000
523,50,RM,5000,Normal,159000
524,60,RL,40094,Partial,184750
525,60,RL,11787,Normal,315750
526,20,FV,7500,Normal,176000
527,20,RL,13300,Normal,132000
528,60,RL,14948,Partial,446261
529,30,RL,9098,Normal,86000
530,20,RL,32668,Alloca,200624
531,80,RL,10200,Abnorml,175000
532,70,RM,6155,Normal,128000
533,20,RL,7200,Normal,107500
534,20,RL,5000,Normal,39300
535,60,RL,9056,Normal,178000
536,190,RL,7000,Normal,107500
537,60,RL,8924,Normal,188000
538,20,RL,12735,Normal,111250
539,20,RL,11553,Normal,158000
540,20,RL,11423,Normal,272000
541,20,RL,14601,Normal,315000
542,60,RL,11000,Normal,248000
543,20,RL,10140,Normal,213250
544,120,RH,4058,Normal,133000
545,60,RL,17104,Partial,179665
546,50,RL,13837,Normal,229000
547,50,RL,8737,Normal,210000
548,85,RL,7244,Normal,129500
549,20,RM,8235,Normal,125000
550,60,FV,9375,Normal,263000
551,120,RL,4043,Abnorml,140000
552,20,RM,6000,Normal,112500
553,20,RL,11146,Normal,255500
554,20,RL,8777,Normal,108000
555,60,RL,10625,Normal,284000
556,45,RM,6380,Normal,113000
557,20,RL,14850,Normal,141000
558,50,C (all),11040,Normal,108000
559,60,RL,21872,Normal,175000
560,120,RL,3196,Normal,234000
561,20,RL,11341,Normal,121500
562,20,RL,10010,Normal,170000
563,30,RL,13907,Normal,108000
564,50,RL,21780,Normal,185000
565,60,RL,13346,Normal,268000
566,70,RL,6858,Normal,128000
567,60,RL,11198,Normal,325000
568,20,RL,10171,Normal,214000
569,50,RL,12327,Normal,316600
570,90,RL,7032,Normal,135960
571,90,RL,13101,Normal,142600
572,20,RL,7332,Abnorml,120000
573,60,RL,13159,Partial,224500
574,80,RL,9967,Normal,170000
575,80,RL,10500,Normal,139000
576,50,RL,8480,Abnorml,118500
577,50,RL,6292,Normal,145000
578,80,RL,11777,Abnorml,164500
579,160,FV,3604,Abnorml,146000
580,50,RM,12150,Normal,131500
581,20,RL,14585,Normal,181900
582,20,RL,12704,Partial,253293
583,90,RL,11841,Normal,118500
584,75,RM,13500,Normal,325000
585,50,RM,6120,Normal,133000
586,20,RL,11443,Partial,369900
587,30,RL,10267,Normal,130000
588,85,RL,8740,Normal,137000
589,20,RL,25095,Partial,143000
590,40,RM,9100,Normal,79500
591,60,RL,8320,Normal,185900
592,60,RL,13478,Normal,451950
593,20,RL,6600,Normal,138000
594,120,RM,4435,Normal,140000
595,20,RL,7990,Normal,110000
596,20,RL,11302,Partial,319000
597,70,RM,3600,Normal,114504
598,120,RL,3922,Partial,194201
599,20,RL,12984,Normal,217500
600,160,RM,1950,Normal,151000
601,60,RL,10927,Normal,275000
602,50,RM,9000,Normal,141000
603,60,RL,10041,Abnorml,220000
604,160,FV,3182,Normal,151000
605,20,RL,12803,Normal,221000
606,60,RL,13600,Normal,205000
607,20,RL,12464,Normal,152000
608,20,RL,7800,Normal,225000
609,70,RL,12168,Alloca,359100
610,20,RL,7943,Normal,118500
611,60,RL,11050,Normal,313000
612,80,RL,10395,Normal,148000
613,60,RL,11885,Normal,261500
614,20,RL,8402,Partial,147000
615,180,RM,1491,Normal,75500
616,85,RL,8800,Abnorml,137500
617,60,RL,7861,Normal,183200
618,45,RL,7227,Normal,105500
619,20,RL,11694,Partial,314813
620,60,RL,12244,Normal,305000
621,30,RL,8248,Normal,67000
622,60,RL,10800,Normal,240000
623,20,RL,7064,Normal,135000
624,160,FV,2117,Normal,168500
625,60,RL,10400,Normal,165150
626,20,RL,10000,Normal,160000
627,20,RL,12342,Normal,139900
628,80,RL,9600,Normal,153000
629,60,RL,11606,Family,135000
630,80,RL,9020,Normal,168500
631,70,RM,9000,Abnorml,124000
632,120,RL,4590,Normal,209500
633,20,RL,11900,Family,82500
634,20,RL,9250,Normal,139400
635,90,RL,6979,Normal,144000
636,190,RH,10896,Abnorml,200000
637,30,RM,6120,Normal,60000
638,190,RM,6000,Normal,93000
639,30,RL,8777,Normal,85000
640,120,RL,3982,Partial,264561
641,120,RL,12677,Normal,274000
642,60,FV,7050,Normal,226000
643,80,RL,13860,Normal,345000
644,60,RL,10793,Normal,152000
645,20,FV,9187,Partial,370878
646,20,RL,10530,Normal,143250
647,20,RL,7200,Normal,98300
648,20,RL,10452,Normal,155000
649,60,RL,7700,Normal,155000
650,180,RM,1936,Normal,84500
651,60,FV,8125,Normal,205950
652,70,RL,9084,Normal,108000
653,60,RL,8750,Normal,191000
654,50,RM,10320,Normal,135000
655,20,RL,10437,Normal,350000
656,160,RM,1680,Family,88000
657,20,RL,10007,Normal,145500
658,70,RL,7200,Normal,149000
659,50,RL,17503,Abnorml,97500
660,20,RL,9937,Normal,167000
661,60,RL,12384,Normal,197900
662,60,RL,46589,Normal,402000
663,20,RL,13560,Normal,110000
664,85,RL,10012,Normal,137500
665,20,RL,20896,Partial,423000
666,60,RL,11194,Normal,230500
667,60,RL,18450,Abnorml,129000
668,20,RL,8125,Normal,193500
669,20,RL,14175,Normal,168000
670,30,RL,11600,Normal,137500
671,60,RL,8633,Normal,173500
672,70,RH,6629,Normal,103600
673,20,RL,11250,Normal,165000
674,20,RL,14442,Normal,257500
675,20,RL,9200,Normal,140000
676,160,RL,2289,Normal,148500
677,70,RM,9600,Normal,87000
678,30,RL,9022,Normal,109500
679,20,RL,11844,Partial,372500
680,20,RL,9945,Normal,128500
681,120,RL,8012,Normal,143000
682,50,RH,4500,Abnorml,159434
683,120,RL,2887,Normal,173000
684,20,RL,11248,Normal,285000
685,60,RL,16770,Normal,221000
686,160,RL,5062,Normal,207500
687,60,FV,10207,Partial,227875
688,160,FV,5105,Normal,148800
689,20,RL,8089,Partial,392000
690,120,RL,7577,Normal,194700
691,120,RM,4426,Normal,141000
692,60,RL,21535,Normal,755000
693,60,RL,26178,Normal,335000
694,30,RL,5400,Abnorml,108480
695,50,RM,6120,Normal,141500
696,20,RL,13811,Normal,176000
697,30,RM,6000,Normal,89000
698,20,RL,6420,Normal,123500
699,20,RL,8450,Normal,138500
700,120,FV,4282,Normal,196000
701,20,RL,14331,Normal,312500
702,20,RL,9600,Normal,140000
703,60,RL,12438,Partial,361919
704,190,RM,7630,Normal,140000
705,20,RL,8400,Normal,213000
706,190,RM,5600,Normal,55000
707,20,RL,115149,Normal,302000
708,120,RL,6240,Normal,254000
709,60,RL,9018,Partial,179540
710,20,RL,7162,Abnorml,109900
711,30,RL,4130,Normal,52000
712,50,C (all),8712,Abnorml,102776
713,120,RL,4671,Normal,189000
714,190,RL,9873,Normal,129000
715,60,RL,13517,Normal,130500
716,20,RL,10140,Normal,165000
717,70,RM,10800,Normal,159500
718,20,RL,10000,Normal,157000
719,60,RL,10542,Normal,341000
720,20,RL,9920,Normal,128500
721,120,RL,6563,Normal,275000
722,120,RM,4426,Normal,143000
723,20,RL,8120,Normal,124500
724,50,RL,8172,Normal,135000
725,20,RL,13286,Normal,320000
726,20,RL,6960,Normal,120500
727,20,RL,21695,Normal,222000
728,20,RL,7314,Normal,194500
729,90,RL,11475,Abnorml,110000
730,30,RM,6240,Normal,103000
731,120,RL,5389,Normal,236500
732,80,RL,9590,Normal,187500
733,60,RL,11404,Normal,222500
734,20,RL,10000,Normal,131400
735,20,RL,8978,Family,108000
736,75,RM,10800,Normal,163000
737,90,RL,8544,Normal,93500
